Name,Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
HCL,16-04-2013,38.45,38.9,38.45,38.75,38.75,52310,20.22
HCL,15-04-2013,39,39,38.5,38.5,38.55,22962,8.89
HCL,12-04-2013,38.15,39.05,38,39,39,322204,125.49
HCL,11-04-2013,39.5,39.5,38.9,39,39,515922,201.26
HCL,10-04-2013,39,39.25,38.75,39.25,39.05,62587,24.38
HCL,09-04-2013,39,39.6,38.75,39,38.95,92634,36.2
HCL,08-04-2013,39,39.6,38.6,39,39,270840,105.57
HCL,05-04-2013,39.55,39.55,38.35,39,39,176320,68.63
HCL,04-04-2013,39.2,39.25,38.6,39.1,39,180218,69.95
HCL,03-04-2013,39.25,39.6,38.5,39.3,39.25,330301,129.7
HCL,02-04-2013,38.95,39.7,38.85,39.05,39,199847,77.98
HCL,01-04-2013,37.5,40.2,37.2,38.8,39,328198,128.59
HCL,28-03-2013,37.55,38,37,37.5,37.55,159702,59.61
HCL,26-03-2013,37.9,38.65,37.5,38,38,289980,110.15
HCL,25-03-2013,38.05,38.25,37.4,37.95,37.9,168815,63.84
HCL,22-03-2013,37.8,38.35,36.9,38.15,37.55,288498,107.25
HCL,21-03-2013,38.5,38.7,37.5,37.65,37.85,510776,193.84
HCL,20-03-2013,38.55,39.05,37.6,37.7,37.9,418558,161.42
HCL,19-03-2013,39.05,39.45,38.35,39.15,39,1579825,610.65
HCL,18-03-2013,39.1,39.35,38.45,39.15,39,279095,108.35
HCL,15-03-2013,40,40,39.25,39.4,39.5,452845,178.73
HCL,14-03-2013,40,40.7,39.25,40.1,40,571777,228.28
HCL,13-03-2013,39.45,40.3,38.3,40.1,40,702642,277.09
HCL,12-03-2013,39,39.75,37.95,39.25,39.25,812764,317.53
HCL,11-03-2013,37,39.15,36.7,39.1,38.85,755230,286.82
HCL,08-03-2013,36,37.1,34.65,37,36.8,702920,252.32
HCL,07-03-2013,31.45,36.35,31,35.1,35.85,1061929,368.4
HCL,06-03-2013,30.85,32.2,30.5,31.6,31.55,116828,36.8
HCL,05-03-2013,30.5,30.9,30,30.3,30.35,112392,34.2
HCL,04-03-2013,32.15,32.15,30,30.3,30.25,83722,25.48
HCL,01-03-2013,31.1,31.7,30.65,31.15,31,124856,38.86
HCL,28-02-2013,33,33.75,30,30,31,260664,83.41
HCL,27-02-2013,34,34,32.35,33,32.6,120831,39.73
HCL,26-02-2013,34.7,35.35,32.9,33,33.2,224456,76.54
HCL,25-02-2013,34.1,34.9,33.65,34.4,33.95,106509,36.36
HCL,22-02-2013,34.95,34.95,34.3,34.4,34.5,67875,23.44
HCL,21-02-2013,35.05,35.3,34.6,34.95,34.95,92932,32.49
HCL,20-02-2013,35.25,35.4,35,35.1,35.15,59254,20.84
HCL,19-02-2013,35.6,36,34.75,35,35.1,147834,51.94
HCL,18-02-2013,33.95,38.1,32.8,35.05,34.95,259346,89.2
HCL,15-02-2013,35,35.5,33.5,33.85,34,351360,120.01
HCL,14-02-2013,35.9,36.25,35.5,35.8,35.85,176477,63.5
HCL,13-02-2013,35,36.5,35,35.55,35.6,154357,55.44
HCL,12-02-2013,36.5,36.5,36,36.15,36.05,85006,30.73
HCL,11-02-2013,36.9,36.9,36,36.3,36.3,109464,39.76
HCL,08-02-2013,36.55,36.55,36.2,36.2,36.25,70140,25.47
HCL,07-02-2013,37.7,37.7,36.25,36.45,36.3,108211,39.59
HCL,06-02-2013,37,37.45,36.35,37.35,37.35,257120,95.12
HCL,05-02-2013,36.75,37.9,36.05,36.3,36.2,313784,115.17
HCL,04-02-2013,36.85,37.2,36.25,36.5,36.45,140992,51.8
HCL,01-02-2013,36.75,36.85,36.5,36.55,36.6,146341,53.68
HCL,31-01-2013,37.25,37.5,35.8,36.25,36.4,445813,163.53
HCL,30-01-2013,37.25,37.95,36.95,36.95,37.2,537214,201.3
HCL,29-01-2013,38.1,38.5,37.05,37.05,37.2,280201,105.28
HCL,28-01-2013,37.7,38.75,37.7,38,37.95,76758,29.28
HCL,25-01-2013,37.65,38.4,37.05,38,38.05,146333,55.28
HCL,24-01-2013,38.95,39,37.55,37.6,37.65,189500,72.17
HCL,23-01-2013,39.15,39.85,38.7,38.7,38.85,255783,100.14
HCL,22-01-2013,39.95,40,38.8,38.95,38.9,180998,71.03
HCL,21-01-2013,39.75,40.6,39.1,39.6,39.8,155961,62.28
HCL,18-01-2013,40.15,40.8,39.5,39.85,39.75,255935,102.49
HCL,17-01-2013,41.3,41.9,35.2,40.4,39.65,666072,272.44
HCL,16-01-2013,41,42.75,40.6,40.9,40.95,1780230,746.1
HCL,15-01-2013,40,41.7,40,41.1,41,1454421,597.06
HCL,14-01-2013,38.95,39.6,38.95,39.05,39.15,138488,54.26
HCL,11-01-2013,38.9,39.6,38.55,38.8,38.9,248070,96.91
HCL,10-01-2013,39.6,39.6,38.55,38.6,38.65,212444,83.07
HCL,09-01-2013,41,41,39.4,39.5,39.6,247346,98.9
HCL,08-01-2013,39.5,42.35,38.9,40,40,685191,277.53
HCL,07-01-2013,39.5,40.6,39.5,39.55,39.7,211088,84.64
HCL,04-01-2013,39.4,40.1,39.4,39.6,39.55,137959,54.85
HCL,03-01-2013,40,40.5,39,39.6,39.6,338303,134.74
HCL,02-01-2013,39,40.5,38.15,39.7,39.8,664846,263.8
HCL,01-01-2013,37.9,38.75,37.5,38.55,38.45,238795,90.89
HCL,31-12-2012,38,38.2,37.85,38,37.9,50872,19.35
HCL,28-12-2012,38,38.25,37.75,37.85,37.85,89351,33.92
HCL,27-12-2012,38.8,38.8,37.7,38,37.85,77977,29.64
HCL,26-12-2012,38.85,38.85,38,38.1,38.1,131432,50.2
HCL,24-12-2012,39,39.4,37.5,38.3,38.5,392187,151.66
HCL,21-12-2012,38.15,38.15,37.6,37.7,37.65,75506,28.55
HCL,20-12-2012,36.65,38.65,36.65,37.8,37.95,81159,30.87
HCL,19-12-2012,37.65,38.55,37.4,38.15,38.15,267937,102.01
HCL,18-12-2012,37.35,37.75,37.05,37.45,37.4,125810,46.91
HCL,17-12-2012,37.3,37.4,37.1,37.2,37.2,112925,42.07
HCL,14-12-2012,38,38,37,37.15,37.1,94226,35
HCL,13-12-2012,37.65,37.95,37,37.25,37.2,136953,51.15
HCL,12-12-2012,37.4,37.85,37.3,37.5,37.5,113881,42.77
HCL,11-12-2012,38.3,38.45,37,37.35,37.3,238907,90.11
HCL,10-12-2012,38.4,38.55,38,38,38.05,173846,66.47
HCL,07-12-2012,38.05,38.5,38,38.2,38.2,177102,67.67
HCL,06-12-2012,38.8,38.85,37.6,37.95,37.9,310303,117.88
HCL,05-12-2012,38.8,39.15,38.3,38.35,38.55,222621,86.34
HCL,04-12-2012,38.75,39.75,38.55,38.7,38.7,356113,139.06
HCL,03-12-2012,38.8,39.4,38.6,38.65,38.75,301904,117.54
HCL,30-11-2012,37.95,39.2,37.8,38.5,38.6,698917,269.11
HCL,29-11-2012,38.5,38.85,37.5,37.8,37.65,232860,88.75
HCL,27-11-2012,37,39.1,36.9,38.3,38.35,464336,176.19
HCL,26-11-2012,37.4,37.45,36.1,36.8,36.7,161126,59.22
HCL,23-11-2012,36.8,37,36.25,36.9,36.8,154479,56.78
HCL,22-11-2012,36.65,37.2,36.1,36.8,36.75,106200,39.15
HCL,21-11-2012,37.1,37.4,36.65,36.85,36.95,201529,74.46
